ID	xpix	ypix	mag	reff	nsersic	b/a	PA	sex_xpix	sex_ypix	sex_mag	sex_mag-err	sim_mag	sex_reff	sex_a/b	sex_PA	isoarea	sflags
0	538.59	623.46	25.75	2.21	0.23	0.83	69.90	-1.00	-1.00	-1.00	-1.0000	-1.00	-1.00	-1.00	-1.00	-1	-1
1	252.96	780.42	24.73	0.25	1.76	0.90	77.57	252.93	780.40	24.73	0.3928	24.75	0.56	2.00	0.00	9	0
2	309.60	896.09	25.90	1.79	10.74	0.92	22.45	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
3	249.34	321.31	23.83	1.99	7.12	0.55	76.76	249.79	320.84	24.03	0.2868	24.27	1.34	2.31	0.00	52	0
4	133.01	8.96	27.24	1.78	5.18	0.13	56.81	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
5	578.57	945.13	27.37	2.01	12.24	0.59	33.35	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
6	1050.01	862.25	27.90	1.92	8.72	0.45	11.29	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
7	310.08	512.72	24.08	0.45	0.84	0.30	0.22	309.99	512.78	24.05	0.2828	24.08	0.47	2.07	0.00	7	0
8	777.97	76.98	25.93	1.37	7.93	0.11	54.94	778.36	77.13	26.21	0.7935	26.37	0.73	2.08	0.00	9	0
9	20.56	355.02	23.57	1.79	6.68	0.86	25.57	20.61	354.90	23.97	0.2876	24.02	0.96	1.48	0.00	50	0
10	297.25	896.29	23.31	2.23	3.60	0.36	10.03	297.25	896.32	23.51	0.2244	23.55	1.20	2.53	0.00	64	0
11	514.54	448.14	23.54	1.54	7.35	0.28	1.43	514.55	448.01	23.86	0.2581	23.88	0.94	2.63	0.00	37	0
12	985.59	544.28	26.35	2.28	3.75	0.49	72.37	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
13	630.89	126.63	25.76	2.11	9.90	0.36	13.35	630.93	127.20	26.39	0.8753	26.55	1.03	3.00	0.00	9	0
14	781.64	293.17	26.82	0.07	7.42	0.63	18.31	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
15	126.10	441.34	24.20	0.17	11.10	0.76	24.40	126.19	441.12	24.19	0.3108	24.39	0.58	1.36	0.00	33	0
16	540.70	221.50	23.64	1.10	1.67	0.89	47.98	540.64	221.48	23.39	0.2155	23.70	1.37	1.43	0.00	61	3
17	801.11	361.97	26.99	2.39	3.26	0.11	72.34	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
18	1030.71	281.08	23.12	1.84	3.26	0.88	50.97	1030.79	281.02	23.33	0.2065	23.46	1.53	1.27	0.00	81	3
19	1028.81	725.51	24.67	0.49	5.99	0.75	58.34	1028.84	725.53	24.86	0.4140	24.88	0.71	1.46	0.00	16	0
20	799.11	105.33	24.92	0.93	8.83	0.74	1.32	799.26	105.36	25.20	0.4961	25.33	0.73	1.71	0.00	18	0
21	76.05	863.52	25.05	0.60	10.37	0.59	75.74	76.46	863.87	24.82	0.4096	25.34	1.15	1.31	0.00	39	2
22	195.92	32.24	25.84	2.07	5.66	0.70	10.17	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
23	829.13	17.05	25.40	2.30	11.72	0.45	66.16	829.50	17.04	25.96	0.7050	26.18	1.37	2.02	0.00	14	2
24	130.92	527.14	23.58	1.22	4.39	0.83	75.86	130.80	527.09	23.72	0.2480	23.83	0.93	1.33	0.00	59	3
25	1071.12	419.29	25.88	1.72	11.75	0.39	18.82	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
26	370.12	690.83	25.27	1.18	3.40	0.54	26.58	369.95	691.15	25.39	0.5295	25.59	0.84	2.63	0.00	21	0
27	875.16	633.04	26.63	1.84	1.72	0.53	18.79	875.44	633.16	27.12	1.1716	27.32	0.82	1.59	0.00	9	0
28	774.43	325.87	26.81	1.24	3.52	0.77	71.49	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
29	311.59	598.59	24.12	0.71	5.66	0.76	6.43	311.71	598.75	24.33	0.3218	24.34	0.78	1.17	0.00	30	2
30	579.19	515.86	26.17	1.92	6.41	0.31	86.04	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
31	157.93	681.37	24.57	0.54	1.73	0.28	89.47	157.97	681.16	24.60	0.3694	24.59	0.55	1.76	0.00	9	0
32	11.48	95.63	24.47	1.62	1.43	0.61	54.64	11.34	95.84	24.38	0.3503	24.62	1.31	3.40	0.00	51	18
33	445.76	923.86	25.74	1.69	11.88	0.27	24.57	445.61	924.35	26.32	0.8126	26.48	0.85	2.59	0.00	9	0
34	267.56	785.94	25.32	1.20	2.55	0.20	85.59	267.30	786.06	25.32	0.5160	25.49	0.83	3.31	0.00	20	0
35	77.69	904.16	26.08	1.81	8.11	0.45	8.33	77.92	904.01	26.79	1.0145	26.81	0.52	1.96	0.00	6	0
36	389.47	342.80	26.80	0.15	8.67	0.78	86.84	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
37	397.73	888.51	24.70	1.29	9.96	0.53	85.56	397.67	888.45	25.12	0.4705	25.22	0.86	1.71	0.00	16	0
38	926.85	846.13	25.94	1.07	0.52	0.52	20.33	926.95	846.23	26.05	0.6999	26.06	0.63	1.89	0.00	9	0
39	1029.02	633.65	23.40	1.24	9.92	0.15	8.98	1029.00	633.76	23.58	0.2303	23.67	0.67	3.85	0.00	50	0
40	501.06	678.69	27.09	0.66	7.17	0.49	76.89	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
41	48.47	791.31	24.20	1.87	10.34	0.44	48.80	48.30	791.28	24.77	0.3992	24.81	0.82	1.97	0.00	18	0
42	478.91	380.25	26.98	2.23	7.21	0.64	21.97	480.11	379.49	26.43	0.8502	28.26	1.34	1.58	0.00	17	0
43	1071.32	683.91	24.50	0.49	9.97	0.41	23.19	1071.17	683.89	24.73	0.3921	24.78	0.52	2.08	0.00	13	3
44	679.84	566.86	26.59	0.24	2.93	0.32	21.17	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
45	535.71	627.21	27.64	0.39	0.83	0.28	63.22	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
46	72.29	373.91	24.73	0.74	11.92	0.42	32.07	72.08	373.77	24.92	0.4401	25.07	0.64	1.21	0.00	21	0
47	700.19	686.02	24.81	2.39	0.24	0.97	39.75	700.23	686.13	24.86	0.4070	24.94	1.69	1.13	0.00	45	2
48	212.26	456.50	24.63	1.46	10.36	0.15	48.21	212.22	456.45	24.82	0.4086	25.18	0.90	2.40	0.00	9	3
49	503.33	700.54	24.45	1.83	8.49	0.74	83.13	503.40	700.76	24.90	0.4194	25.02	1.06	1.32	0.00	25	3
50	989.46	48.23	27.20	1.40	8.83	0.37	80.79	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
51	641.58	810.82	24.30	0.23	8.70	0.19	63.61	641.77	810.92	24.44	0.3335	24.42	0.51	3.52	0.00	12	0
52	498.90	55.08	26.50	1.37	4.39	0.77	5.03	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
53	426.45	951.37	26.72	2.24	9.82	0.97	61.62	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
54	909.30	31.08	23.46	1.88	3.67	0.57	80.44	909.44	31.28	23.60	0.2356	23.70	1.24	1.26	0.00	80	0
55	1033.39	726.16	23.56	1.28	7.10	0.43	67.22	1033.64	726.32	23.72	0.2447	23.86	0.97	1.74	0.00	54	3
56	624.40	16.57	25.47	1.66	9.37	0.35	21.22	624.23	16.76	26.17	0.8096	26.15	0.69	1.55	0.00	6	0
57	741.49	718.49	23.09	2.19	10.26	0.17	87.30	741.34	718.44	23.50	0.2184	23.54	1.05	3.36	0.00	47	0
58	412.16	823.45	23.11	0.76	7.50	0.18	41.19	412.09	823.29	23.14	0.1878	23.23	0.79	4.07	0.00	69	0
59	700.91	894.90	23.09	2.18	3.33	0.65	82.63	701.14	894.92	23.27	0.1920	23.33	1.48	1.41	0.00	90	2
60	931.00	359.41	27.76	0.48	8.04	0.28	19.57	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
61	434.61	750.01	25.98	1.43	7.33	0.19	5.81	434.78	750.10	26.46	0.8717	26.48	0.53	2.58	0.00	9	0
62	291.14	67.72	25.76	1.01	9.86	1.00	71.01	291.21	68.01	26.06	0.7761	26.35	0.81	1.44	0.00	11	0
63	376.11	869.22	25.97	0.08	7.13	0.71	82.65	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
64	132.88	667.78	24.75	0.85	7.35	0.62	86.70	132.88	667.97	25.05	0.4546	25.12	0.54	1.44	0.00	14	0
65	842.38	383.30	23.55	1.89	7.17	0.65	9.17	842.34	383.52	23.78	0.2530	23.94	1.12	1.61	0.00	70	0
66	277.98	791.35	24.41	0.37	9.04	0.90	23.71	278.00	791.21	24.69	0.3851	24.70	0.48	1.44	0.00	12	0
67	718.44	427.80	26.59	1.11	9.58	0.95	25.82	718.78	427.21	26.72	0.9777	27.32	1.10	1.94	0.00	10	2
68	1024.94	592.29	23.60	1.81	8.98	0.70	37.74	1024.94	592.23	24.05	0.2873	24.09	0.76	1.27	0.00	41	0
69	156.14	213.87	23.56	2.17	8.44	0.73	74.35	156.09	213.89	24.01	0.2929	24.06	0.89	1.63	0.00	53	2
70	351.84	474.32	24.07	1.12	0.09	0.40	27.10	351.81	474.29	24.07	0.2845	24.07	0.90	1.91	0.00	10	0
71	760.62	808.03	23.73	1.65	5.69	0.99	64.13	760.67	807.87	24.04	0.2764	24.15	1.05	1.34	0.00	56	0
72	663.74	769.79	24.66	2.01	0.65	0.12	63.13	663.76	769.80	24.61	0.3609	24.70	1.26	5.14	0.00	25	2
73	1080.19	712.61	23.04	1.96	4.82	0.48	10.80	1080.06	712.65	23.19	0.1925	23.30	1.07	1.42	0.00	84	18
74	992.20	602.05	23.02	2.39	10.73	0.11	84.72	992.37	601.99	23.33	0.2058	23.37	0.81	6.67	0.00	57	2
75	183.04	467.91	26.11	1.89	9.67	0.26	26.61	182.96	467.98	26.28	0.8033	26.70	2.19	2.07	0.00	13	0
76	755.43	227.02	27.75	1.17	6.38	0.58	30.41	755.29	226.55	26.57	0.9277	28.35	2.35	1.19	0.00	17	3
77	896.89	19.98	26.04	2.00	9.18	0.17	67.29	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
78	315.89	130.53	27.42	2.34	10.11	0.34	38.13	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
79	998.15	657.41	23.43	1.34	9.39	0.40	57.34	998.36	657.26	23.70	0.2435	23.77	0.86	1.83	0.00	54	0
80	271.01	221.84	23.33	2.06	12.40	0.48	75.90	270.95	221.91	23.89	0.2737	23.89	0.54	2.45	0.00	38	3
81	345.23	575.62	24.61	0.88	12.39	0.96	88.96	345.18	575.82	24.95	0.4264	25.10	0.62	1.56	0.00	22	0
82	439.91	318.60	24.19	0.55	1.78	0.64	17.09	439.93	318.61	24.16	0.3010	24.22	0.69	1.71	0.00	20	3
83	36.18	285.28	24.48	1.78	11.86	0.98	58.15	36.08	284.85	25.05	0.4739	25.19	0.62	1.41	0.00	22	0
84	796.24	244.18	25.76	1.75	7.33	0.57	34.34	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
85	935.58	627.16	25.17	0.96	8.11	0.66	37.23	935.71	627.15	25.50	0.5585	25.60	0.66	1.20	0.00	15	0
86	996.30	923.66	27.68	2.07	9.25	0.77	8.08	996.34	923.17	27.98	1.7199	28.75	0.84	1.92	0.00	5	0
87	1074.97	661.02	23.03	0.94	5.81	0.87	72.03	1074.98	660.98	23.08	0.1841	23.19	0.79	1.12	0.00	96	0
88	707.20	805.03	25.07	1.40	9.11	0.70	87.71	707.06	804.92	25.69	0.5924	25.68	0.50	1.07	0.00	12	0
89	1001.99	398.09	26.99	0.24	5.59	0.76	18.08	1002.31	398.46	26.70	0.9767	27.18	0.93	2.62	0.00	8	0
90	3.29	293.62	24.25	1.98	1.20	0.82	73.88	3.55	293.46	24.29	0.3342	24.49	1.79	1.61	0.00	48	19
91	56.84	90.59	24.02	1.56	2.70	0.40	34.45	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
92	1073.37	158.93	24.25	0.39	3.88	0.75	62.59	1073.23	159.27	24.11	0.2959	24.33	0.69	1.53	0.00	27	2
93	407.90	762.07	25.09	0.64	9.87	0.52	45.87	407.93	761.96	25.34	0.5197	25.46	0.49	2.38	0.00	13	0
94	357.52	554.88	23.39	0.46	3.76	0.29	47.72	357.60	554.91	23.43	0.2117	23.43	0.66	2.27	0.00	23	0
95	626.23	833.78	23.15	1.32	5.54	0.77	51.43	626.02	833.79	23.18	0.1866	23.36	1.18	1.41	0.00	120	3
96	441.76	415.21	27.42	0.18	8.16	0.20	44.95	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0.00	0	0
97	103.16	212.63	24.27	1.89	1.24	0.39	3.99	103.15	212.84	24.32	0.3389	24.37	1.29	2.29	0.00	38	0
